title,company,location,url,source,salary,job_type,description,posted_date,tags
Senior Amazon Brand Manager,GNO Partners,Worldwide,https://remotive.com/remote-jobs/marketing/senior-amazon-brand-manager-2082736,Remotive,$220k-$300k OTE,full_time,"<p style=""margin-bottom: 20px; padding: 0px; border-style: initial; font-variant-numeric: inherit; font-variant-east-asian: inherit; font-variant-alternates: inherit; font-variant-position: inherit; font-variant-emoji: inherit; font-stretch: inherit; line-height: 1.7; font-optical-sizing: inherit; font-kerning: inherit; font-feature-settings: inherit; font-variation-settings: inherit; vertical-align: baseline; text-rendering: optimizelegibility; color: #444444; letter-spacing: 0.5px;""><span styl",2025-12-26T07:46:14,"amazon, backend, project management, PPC"
Senior Full Stack Software Engineer,Empassion,"New York, NY",https://remoteOK.com/remote-jobs/remote-senior-full-stack-software-engineer-empassion-1129677,RemoteOK,,Remote,"<p><span style=""font-size: 12pt;"">About Empassion</span></p><p><br></p><p><span style=""font-size: 11pt;"">Empassion is a Management Services Organization (MSO) focused on improving the quality of care and costs on an often neglected âAdvanced illness/ end of lifeâ patient population, representing 4 percent of the Medicare population but 25 percent of its costs. The impact is driven deeper by families who are left with minimal options and decreased time with their loved ones. Empassion enables",2026-01-21T00:01:17+00:00,"software, design, system, frontend, back-end, python, django, full-stack, docker, technical, director, code, web, travel, devops, cloud, leader, strategy, management, lead, senior, operations, analytics, reliability, healthcare, engineer, engineering, digital nomad"
Senior Data Engineer,Sanctuary Computer,,https://remoteOK.com/remote-jobs/remote-senior-data-engineer-sanctuary-computer-1129532,RemoteOK,"$180,000 - $270,000",Remote,"<p><span class=""notion-enable-hover"">We are recruiting a <strong><span class=""notion-enable-hover"">Sr. Data Engineer</span></strong>Â for a client in the AI / health &amp; wellness space</span></p><p><a href=""https://www.notion.so/garden3d/Senior-Data-Engineer-2e7131fea2c7800094e4d9340a5df499?source=copy_link""><strong><span class=""notion-enable-hover"">Original Job Post link</span></strong></a></p><h2>ð About garden3d</h2><p>We are worker owned creative collective, innovating on everything fro",2026-01-12T19:57:40+00:00,"engineer, senior, technical, backend, python, ruby, data science, pyton, django, exec, dev, front end"
Senior Software Engineer Backend,Cresta,Toronto,https://remoteOK.com/remote-jobs/remote-senior-software-engineer-backend-cresta-1129520,RemoteOK,"$100,000 - $150,000",Remote,"Cresta is on a mission to turn every customer conversation into a competitive advantage by unlocking the true potential of the contact center. Our platform combines the best of AI and human intelligence to help contact centers discover customer insights and behavioral best practices, automate conversations and inefficient processes, and empower every team member to work smarter and faster. Born from the prestigious Stanford AI lab, Cresta's co-founder and chairman is Sebastian Thrun, the genius ",2026-01-12T01:00:11+00:00,"software, design, python, technical, voice, senior, golang, engineer, engineering, backend, digital nomad"
Forward Deployed Engineer AI Inference,"Red Hat, Inc.",Remote US MA,https://remoteOK.com/remote-jobs/remote-forward-deployed-engineer-ai-inference-red-hat-inc-1129504,RemoteOK,,Remote,"The vLLM and LLM-D Engineering team at Red Hat is looking for a customer obsessed developer to join our team as a Forward Deployed Engineer. In this role, you will not just build software; you will be the bridge between our cutting-edge inference platform (LLM-D, and vLLM) and our customers' most critical production environments. You will interface directly with the engineering teams at our customer to deploy, optimize, and scale distributed Large Language Model (LLM) inference systems. You will",2026-01-10T20:00:01+00:00,"python, training, developer, software, code, travel, cloud, leader, sales, go, health, healthcare, engineer, engineering, recruitment, backend, digital nomad"
Senior Software Engineer Analytics,"Bayesian Health, Inc.",,https://remoteOK.com/remote-jobs/remote-senior-software-engineer-analytics-bayesian-health-inc-1129463,RemoteOK,,Remote,"<h1><strong>Senior Software Engineer, Analytics</strong></h1><h3><strong>In Brief</strong></h3><ul style=""min-height:1.5em""><li><p style=""min-height:1.5em"">Weâre an early-stage startup on a mission to make healthcare proactive by empowering physicians, nurses, and care team members with real-time data to save lives.</p></li><li><p style=""min-height:1.5em"">You will lead the development of our clinical AI/ML product analytics infrastructure, frameworks, and tools to enable our client success, pr",2026-01-07T16:00:45+00:00,"software, python, technical, support, cloud, lead, senior, analytics, biotech, health, healthcare, engineer, engineering"
Senior Staff AI Software Engineer,Aegis Ventures,"Remote, U.S.",https://remoteOK.com/remote-jobs/remote-senior-staff-ai-software-engineer-aegis-ventures-1129387,RemoteOK,,Remote,"<h3><strong>About Aegis Ventures</strong></h3>
<p><strong><a href=""https://www.aegisventures.com"">Aegis Ventures</a></strong> partners with entrepreneurs and industry leaders to launch and scale transformative companies in digital health and artificial intelligence. Our platform brings together market-shaping ideas, growth capital, and ambitious individuals to solve major societal problems. With a focus on innovations in healthcare, Aegis has launched four successful portfolio companies in partn",2026-01-01T21:00:15+00:00,"software, python, technical, growth, senior, operational, health, healthcare, engineer, backend"
Security Architect,Dexterity,Redwood City,https://remoteOK.com/remote-jobs/remote-security-architect-dexterity-1129385,RemoteOK,,Remote,"<p><span style=""font-size: 16px;"">As the </span><b style=""font-size: 16px;"">Security Architect</b><span style=""font-size: 16px;"">, you will be leading all aspects of Software Security for Dexterityâs Robotics Product Lines. This is a very visible and âhands-onâ role that requires you to write and review code, write and audit policies, and work with auditors, prospects and customers to demonstrate compliance with security policies.&nbsp;</span></p><p><br></p><p><span style=""font-size: 16px;",2025-12-31T22:00:02+00:00,"security, architect, python, full-stack, docker, software, devops, c++, cloud, robotics, git, operations"
Cloud Full Stack Python Software Engineer US,"Railroad19, Inc",U.S. Remote,https://remoteOK.com/remote-jobs/remote-cloud-full-stack-python-software-engineer-us-railroad19-inc-1129344,RemoteOK,,Remote,"<p>We are currently seeking 2 <b>Cloud Full Stack Python&nbsp;Developers (AWS)</b>.&nbsp;In addition to contributing code and tangible deliverables, you will be expected to work as an advisor to help identify, educate, and foster best-in-class solutions. Creating these relationships requires strong communication skills and a passion for solving complex challenges.</p>\n<p></p><p><br></p><b>About Us:</b><ul><li>At Railroad19, Inc., we build custom solutions and provide our clients with top tier d",2025-12-27T00:00:20+00:00,"python, software, react, technical, code, serverless, cloud, nosql, angular, health, engineer, engineering, full-time"
Staff Software Engineer Backend,Leona Health,San Francisco ,https://remoteOK.com/remote-jobs/remote-staff-software-engineer-backend-leona-health-1129305,RemoteOK,,Remote,"<h1><strong>About Us</strong> </h1><p style=""min-height:1.5em""></p><p style=""min-height:1.5em"">Leona is on a mission to empower everyone to take the best care of themselves, their patients, and their loved ones. We have an ambitious goal: to transform the way the world interacts with healthcare. We strongly believe that where you live shouldnât impact your access to high-quality care. For patients, it should feel empowering, and unintimidating, to proactively take care of yourself and your lov",2025-12-22T18:00:02+00:00,"software, python, cto, technical, strategy, medical, health, engineer, engineering, backend"
